5.345787644386291726e-01,5.350278377532958762e-01,5.346517682075500044e-01,5.374111175537109597e-01,5.524497866630554421e-01
5.347195148468018022e-01,5.349983334541320579e-01,5.351289510726928711e-01,5.378383278846741167e-01,5.520663976669311079e-01
5.346046805381774458e-01,5.353625535964965376e-01,5.350381493568420188e-01,5.390226602554321067e-01,5.532848596572875755e-01
5.345386505126953347e-01,5.353760957717895730e-01,5.352368235588074175e-01,5.389867663383484109e-01,5.533386111259460671e-01
5.346551418304443803e-01,5.350657701492309570e-01,5.346423745155334251e-01,5.387417554855347124e-01,5.530653834342956765e-01
5.346592426300048606e-01,5.351091384887695090e-01,5.345773935317993386e-01,5.389589190483092818e-01,5.536097407341002974e-01
5.346179723739623579e-01,5.350859999656677468e-01,5.348182201385498491e-01,5.374616026878357156e-01,5.528146982192992942e-01
5.346420526504516157e-01,5.348422646522521529e-01,5.347428560256958230e-01,5.388309478759765181e-01,5.547621369361876997e-01
5.347218871116637962e-01,5.349364876747131348e-01,5.345017075538635032e-01,5.386828422546386941e-01,5.538611173629760520e-01
5.346474885940551980e-01,5.349108576774597168e-01,5.348482370376587136e-01,5.393221259117126909e-01,5.543505430221558061e-01
